Cycles to Failure,Stress Amplitude,hatch space  (μm),layer scan rotation  (°),wire feed rate  (mm/s),types of feedstock,ultimate tensile strength  (MPa),scan speed  (mm/s),scan pattern,current  (A),stress concentration factor of specimens,AM environment,preheat temperature  (°C),layer thickness  (μm),elongation  (%),types of AM,Frequency,critical cross-section size of specimens (mm),load control,voltage  (V),Young's modulus  (GPa),powder feed rate  (g/s),power  (W),yield strength  (MPa),fatigue environment,R-value,size of feedstock  (μm),speed function,direciton of specimen  (°),fatigue temperature  (°C),log10(Cycles to Failure),Material_Code,Maximum Stress,Minimum Stress
364847.865764471,199.93985984866,,,,powder,570.0,,,,1.0,,,60.0,49.0,L-PBF,60.0,2.5,force,,,,,440.0,air,-1.0,,,90.0,25.0,5.5621118101215785,316L,199.93985984866,-199.93985984866
12885.4227717668,359.72816581056,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,90.0,25.0,4.110098672357882,IN718,799.3959240234666,79.93959240234666
23776.0958955729,359.734123837726,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,90.0,25.0,4.376140543713816,IN718,799.4091640838354,79.94091640838354
68774.5517784915,270.31722302751,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,90.0,25.0,4.83742776866169,IN718,600.7049400611334,60.070494006113336
74362.5572925132,270.461592749538,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,90.0,25.0,4.871354316534639,IN718,601.02576166564,60.102576166564
82647.2393260491,270.605962471567,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,90.0,25.0,4.917228351367996,IN718,601.3465832701489,60.1346583270149
211023.968711615,203.188196375885,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,90.0,25.0,5.324331786520446,IN718,451.52932527974446,45.15293252797445
844511.376917864,135.469107551487,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,90.0,25.0,5.9266055045871555,IN718,301.04246122552667,30.104246122552667
1007812.89766631,135.078511792636,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,90.0,25.0,6.003379912016838,IN718,300.1744706503022,30.017447065030225
1193405.93099643,135.31102067366,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,90.0,25.0,6.076788191872937,IN718,300.6911570525778,30.069115705257783
1806677.90755684,135.469107551487,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,90.0,25.0,6.2568807339449535,IN718,301.04246122552667,30.104246122552667
18311.4312029981,360.14159675144,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,0.0,25.0,4.262722289647056,IN718,800.3146594476443,80.03146594476443
19572.2036382755,360.164839610036,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,0.0,25.0,4.291639725712429,IN718,800.3663102445244,80.03663102445245
65862.1784767353,269.835286695454,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,0.0,25.0,4.818636091465142,IN718,599.6339704343421,59.96339704343421
76989.3304320613,270.047977137475,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,0.0,25.0,4.886430542632893,IN718,600.1066158610556,60.01066158610556
87473.3892515586,269.957936805424,70.0,67.0,,powder,,,stripe,,1.0,,,60.0,,L-PBF,20.0,,force,,,,500.0,,air,0.1,,,0.0,25.0,4.941875954063198,IN718,599.9065262342756,59.990652623427565
